name,city,completion_year,height,floors,material,function
Suning Plaza Tower 1,Zhenjiang,2018,338 m,75,composite,hotel / serviced apartments / SOHO / office
Tianjin Modern City Office Tower,Tianjin,2016,338 m,65,composite,office
Hengqin International Finance Center,Zhuhai,2020,337.7 m,69,composite,residential / office
Tianjin World Financial Center,Tianjin,2011,336.9 m,75,composite,office
SLS Dubai,Dubai,2020,336 m,78,concrete,serviced apartments / hotel
Wilshire Grand Center,Los Angeles,2017,335.3 m,62,composite,hotel / office
DAMAC Heights,Dubai,2018,335.1 m,88,concrete,residential
"Twin Towers Guiyang, East Tower",Guiyang,2020,335 m,74,composite,office
"Twin Towers Guiyang, West Tower",Guiyang,2020,335 m,74,composite,hotel / office
Shimao International Plaza,Shanghai,2006,333.3 m,60,concrete,hotel / office / retail
